"","DEGs","Cluster"
"1","Tb927.1.2160",1
"2","Tb927.1.3630",1
"3","Tb927.1.3980",1
"4","Tb927.1.3990",1
"5","Tb927.1.580",1
"6","Tb927.1.600",1
"7","Tb927.10.12780",1
"8","Tb927.10.15410",1
"9","Tb927.10.1760",1
"10","Tb927.10.2980",1
"11","Tb927.10.7090",1
"12","Tb927.10.9220",1
"13","Tb927.11.12710",1
"14","Tb927.11.4430",1
"15","Tb927.11.4760",1
"16","Tb927.11.6040",1
"17","Tb927.3.4500",1
"18","Tb927.6.180",1
"19","Tb927.6.280",1
"20","Tb927.6.430",1
"21","Tb927.7.1930",1
"22","Tb927.7.7470",1
"23","Tb927.8.4700",1
"24","Tb927.9.11600",1
"25","Tb927.9.4830",1
"26","Tb927.9.4840",1
"27","Tb927.11.16200",1
"28","Tb927.6.1310",1
"29","Tb927.6.3120",1
"30","Tb927.9.7140",1
"31","Tb927.1.1370",2
"32","Tb927.1.1700",2
"33","Tb927.1.2410",2
"34","Tb927.1.2940",2
"35","Tb927.1.3370",2
"36","Tb927.1.4890",2
"37","Tb927.1.70",2
"38","Tb927.10.10010",2
"39","Tb927.10.10210",2
"40","Tb927.10.10220",2
"41","Tb927.10.10230",2
"42","Tb927.10.10240",2
"43","Tb927.10.10250",2
"44","Tb927.10.1060",2
"45","Tb927.10.12430",2
"46","Tb927.10.12710",2
"47","Tb927.10.13270",2
"48","Tb927.10.13310",2
"49","Tb927.10.14330",2
"50","Tb927.10.14680",2
"51","Tb927.10.14750",2
"52","Tb927.10.14870",2
"53","Tb927.10.15170",2
"54","Tb927.10.15380",2
"55","Tb927.10.1560",2
"56","Tb927.10.15810",2
"57","Tb927.10.16070",2
"58","Tb927.10.1720",2
"59","Tb927.10.2310",2
"60","Tb927.10.2700",2
"61","Tb927.10.4560",2
"62","Tb927.10.4570",2
"63","Tb927.10.4640",2
"64","Tb927.10.5670",2
"65","Tb927.10.6320",2
"66","Tb927.10.6630",2
"67","Tb927.10.7710",2
"68","Tb927.10.9200",2
"69","Tb927.10.9500",2
"70","Tb927.10.9550",2
"71","Tb927.11.10480",2
"72","Tb927.11.11300",2
"73","Tb927.11.11330",2
"74","Tb927.11.11380",2
"75","Tb927.11.13190",2
"76","Tb927.11.13930",2
"77","Tb927.11.14600",2
"78","Tb927.11.14610",2
"79","Tb927.11.14620",2
"80","Tb927.11.15420",2
"81","Tb927.11.1990",2
"82","Tb927.11.2120",2
"83","Tb927.11.2510",2
"84","Tb927.11.2630",2
"85","Tb927.11.2640",2
"86","Tb927.11.3070",2
"87","Tb927.11.4060",2
"88","Tb927.11.4100",2
"89","Tb927.11.4110",2
"90","Tb927.11.4120",2
"91","Tb927.11.4190",2
"92","Tb927.11.460",2
"93","Tb927.11.5250",2
"94","Tb927.11.6790",2
"95","Tb927.11.8270",2
"96","Tb927.11.8840",2
"97","Tb927.11.9080",2
"98","Tb927.11.9210",2
"99","Tb927.11.9610",2
"100","Tb927.2.1060",2
"101","Tb927.2.1120",2
"102","Tb927.2.200",2
"103","Tb927.2.2020",2
"104","Tb927.2.2029",2
"105","Tb927.2.2060",2
"106","Tb927.2.2950",2
"107","Tb927.2.3270",2
"108","Tb927.2.3310",2
"109","Tb927.2.3330",2
"110","Tb927.2.3340",2
"111","Tb927.2.3460",2
"112","Tb927.2.4550",2
"113","Tb927.2.510",2
"114","Tb927.2.5160",2
"115","Tb927.2.6180",2
"116","Tb927.2.6220",2
"117","Tb927.3.1350",2
"118","Tb927.3.1480",2
"119","Tb927.3.1490",2
"120","Tb927.3.1500",2
"121","Tb927.3.2750",2
"122","Tb927.3.3590",2
"123","Tb927.3.5340",2
"124","Tb927.3.5430",2
"125","Tb927.3.560",2
"126","Tb927.3.5790",2
"127","Tb927.3.580",2
"128","Tb927.4.220",2
"129","Tb927.4.2310",2
"130","Tb927.4.240",2
"131","Tb927.4.250",2
"132","Tb927.4.2630",2
"133","Tb927.4.3840",2
"134","Tb927.4.5440",2
"135","Tb927.4.970",2
"136","Tb927.5.1150",2
"137","Tb927.5.120",2
"138","Tb927.5.1390",2
"139","Tb927.5.1410",2
"140","Tb927.5.150",2
"141","Tb927.5.1560",2
"142","Tb927.5.2520",2
"143","Tb927.5.2650",2
"144","Tb927.5.2660",2
"145","Tb927.5.3810",2
"146","Tb927.5.3830",2
"147","Tb927.5.4010",2
"148","Tb927.5.4100",2
"149","Tb927.5.4420",2
"150","Tb927.6.160",2
"151","Tb927.6.1900",2
"152","Tb927.6.2170",2
"153","Tb927.6.2650",2
"154","Tb927.6.2780",2
"155","Tb927.6.3750",2
"156","Tb927.6.5160",2
"157","Tb927.6.5170",2
"158","Tb927.6.5210",2
"159","Tb927.7.160",2
"160","Tb927.7.170",2
"161","Tb927.7.190",2
"162","Tb927.7.1990",2
"163","Tb927.7.2010",2
"164","Tb927.7.2170",2
"165","Tb927.7.270",2
"166","Tb927.7.3220",2
"167","Tb927.7.3410",2
"168","Tb927.7.4220",2
"169","Tb927.7.4680",2
"170","Tb927.7.5950",2
"171","Tb927.7.6020",2
"172","Tb927.7.6510",2
"173","Tb927.7.6530",2
"174","Tb927.7.6540",2
"175","Tb927.8.1270",2
"176","Tb927.8.2000",2
"177","Tb927.8.2600",2
"178","Tb927.8.3750",2
"179","Tb927.8.4820",2
"180","Tb927.8.5040",2
"181","Tb927.8.5090",2
"182","Tb927.8.5490",2
"183","Tb927.8.5990",2
"184","Tb927.8.7330",2
"185","Tb927.8.7350",2
"186","Tb927.8.8290",2
"187","Tb927.8.900",2
"188","Tb927.8.960",2
"189","Tb927.9.10400",2
"190","Tb927.9.10880",2
"191","Tb927.9.11270",2
"192","Tb927.9.1280",2
"193","Tb927.9.1290",2
"194","Tb927.9.1300",2
"195","Tb927.9.1310",2
"196","Tb927.9.1320",2
"197","Tb927.9.1330",2
"198","Tb927.9.13520",2
"199","Tb927.9.1390",2
"200","Tb927.9.14410",2
"201","Tb927.9.14620",2
"202","Tb927.9.14650",2
"203","Tb927.9.14940",2
"204","Tb927.9.15060",2
"205","Tb927.9.15680",2
"206","Tb927.9.15690",2
"207","Tb927.9.16130",2
"208","Tb927.9.2120",2
"209","Tb927.9.2880",2
"210","Tb927.9.2890",2
"211","Tb927.9.2900",2
"212","Tb927.9.4870",2
"213","Tb927.9.5190",2
"214","Tb927.9.6750",2
"215","Tb927.9.6760",2
"216","Tb927.9.7250",2
"217","Tb927.9.7290",2
"218","Tb927.9.730",2
"219","Tb927.9.7670",2
"220","Tb927.9.8200",2
"221","Tb927.10.10450",2
"222","Tb927.10.13180",2
"223","Tb927.10.9780",2
"224","Tb927.11.15370",2
"225","Tb927.11.3030",2
"226","Tb927.11.6160",2
"227","Tb927.11.630",2
"228","Tb927.2.3780",2
"229","Tb927.5.4270",2
"230","Tb927.8.1260",2
"231","Tb927.8.1410",2
"232","Tb927.1.2170",3
"233","Tb927.11.3610",3
"234","Tb927.11.3620",3
"235","Tb927.5.300",3
"236","Tb927.9.2610",3
"237","Tb927.9.2950",3
"238","Tb927.10.2170",3
"239","Tb927.11.16190",3
"240","Tb927.3.3700",3
"241","Tb927.8.4630",3
"242","Tb927.9.2690",3
"243","Tb927.9.2820",3
"244","Tb927.9.7890",3
"245","Tb927.1.1450",3
"246","Tb927.1.2250",3
"247","Tb927.1.800",3
"248","Tb927.10.2400",3
"249","Tb927.11.4790",3
"250","Tb927.4.4730",3
"251","Tb927.6.5020",3
"252","Tb927.8.1380",3
"253","Tb927.11.11410",3
"254","Tb927.5.880",3
"255","Tb927.7.240",3
