"","DEGs","Cluster"
"1","Tb927.1.20",1
"2","Tb927.10.14540",1
"3","Tb927.10.14550",1
"4","Tb927.11.14220",1
"5","Tb927.11.16130",1
"6","Tb927.11.16550",1
"7","Tb927.11.880",1
"8","Tb927.7.6670",1
"9","Tb927.8.470",1
"10","Tb927.8.510",1
"11","Tb927.8.5920",1
"12","Tb927.8.5930",1
"13","Tb11.01.6240",2
"14","Tb11.01.6250",2
"15","Tb927.1.4890",2
"16","Tb927.1.5080",2
"17","Tb927.1.5100",2
"18","Tb927.1.70",2
"19","Tb927.10.10250",2
"20","Tb927.10.16070",2
"21","Tb927.10.5690",2
"22","Tb927.10.5700",2
"23","Tb927.10.5710",2
"24","Tb927.10.9490",2
"25","Tb927.10.9500",2
"26","Tb927.10.9510",2
"27","Tb927.11.14600",2
"28","Tb927.11.14610",2
"29","Tb927.11.14620",2
"30","Tb927.11.4110",2
"31","Tb927.11.4120",2
"32","Tb927.11.8840",2
"33","Tb927.2.1060",2
"34","Tb927.2.1120",2
"35","Tb927.2.200",2
"36","Tb927.2.2020",2
"37","Tb927.2.2029",2
"38","Tb927.2.3270",2
"39","Tb927.2.3310",2
"40","Tb927.2.3320",2
"41","Tb927.2.3330",2
"42","Tb927.2.3340",2
"43","Tb927.2.3460",2
"44","Tb927.2.6180",2
"45","Tb927.3.1500",2
"46","Tb927.3.560",2
"47","Tb927.3.580",2
"48","Tb927.3.5820",2
"49","Tb927.3.5830",2
"50","Tb927.4.240",2
"51","Tb927.4.250",2
"52","Tb927.4.5090",2
"53","Tb927.5.120",2
"54","Tb927.5.1410",2
"55","Tb927.5.1440",2
"56","Tb927.5.3990",2
"57","Tb927.5.4620",2
"58","Tb927.6.160",2
"59","Tb927.6.5160",2
"60","Tb927.6.5180",2
"61","Tb927.7.160",2
"62","Tb927.7.1990",2
"63","Tb927.7.6510",2
"64","Tb927.7.6530",2
"65","Tb927.8.7330",2
"66","Tb927.9.1300",2
"67","Tb927.9.1310",2
"68","Tb927.9.1320",2
"69","Tb927.9.1330",2
"70","Tb927.9.1390",2
"71","Tb927.9.14940",2
"72","Tb927.9.2880",2
"73","Tb927.9.2890",2
"74","Tb927.9.670",2
"75","Tb927.9.7290",2
"76","Tb927.9.7950",2
"77","Tb927.1.1370",3
"78","Tb927.1.1700",3
"79","Tb927.10.10010",3
"80","Tb927.10.1060",3
"81","Tb927.10.12430",3
"82","Tb927.10.12710",3
"83","Tb927.10.13180",3
"84","Tb927.10.13270",3
"85","Tb927.10.13310",3
"86","Tb927.10.14330",3
"87","Tb927.10.14680",3
"88","Tb927.10.14750",3
"89","Tb927.10.14870",3
"90","Tb927.10.15170",3
"91","Tb927.10.15380",3
"92","Tb927.10.1560",3
"93","Tb927.10.1720",3
"94","Tb927.10.2310",3
"95","Tb927.10.2700",3
"96","Tb927.10.4570",3
"97","Tb927.10.5670",3
"98","Tb927.10.6320",3
"99","Tb927.10.9200",3
"100","Tb927.10.9780",3
"101","Tb927.11.10480",3
"102","Tb927.11.11330",3
"103","Tb927.11.11380",3
"104","Tb927.11.13190",3
"105","Tb927.11.13930",3
"106","Tb927.11.15370",3
"107","Tb927.11.15420",3
"108","Tb927.11.1990",3
"109","Tb927.11.2120",3
"110","Tb927.11.2510",3
"111","Tb927.11.2630",3
"112","Tb927.11.2640",3
"113","Tb927.11.3030",3
"114","Tb927.11.3070",3
"115","Tb927.11.4190",3
"116","Tb927.11.460",3
"117","Tb927.11.6790",3
"118","Tb927.11.8270",3
"119","Tb927.11.9080",3
"120","Tb927.11.9210",3
"121","Tb927.11.9610",3
"122","Tb927.2.2060",3
"123","Tb927.2.2950",3
"124","Tb927.2.3780",3
"125","Tb927.2.4550",3
"126","Tb927.2.510",3
"127","Tb927.2.5160",3
"128","Tb927.3.1350",3
"129","Tb927.3.1480",3
"130","Tb927.3.2750",3
"131","Tb927.3.3590",3
"132","Tb927.3.5340",3
"133","Tb927.4.220",3
"134","Tb927.4.2310",3
"135","Tb927.4.2630",3
"136","Tb927.4.3840",3
"137","Tb927.4.5440",3
"138","Tb927.5.1150",3
"139","Tb927.5.1560",3
"140","Tb927.5.2520",3
"141","Tb927.5.2650",3
"142","Tb927.5.2660",3
"143","Tb927.5.3810",3
"144","Tb927.5.3830",3
"145","Tb927.5.4100",3
"146","Tb927.5.4270",3
"147","Tb927.5.4420",3
"148","Tb927.6.1900",3
"149","Tb927.6.2170",3
"150","Tb927.6.2650",3
"151","Tb927.6.3750",3
"152","Tb927.7.170",3
"153","Tb927.7.2170",3
"154","Tb927.7.270",3
"155","Tb927.7.3410",3
"156","Tb927.7.4220",3
"157","Tb927.7.5950",3
"158","Tb927.7.6020",3
"159","Tb927.8.1260",3
"160","Tb927.8.1270",3
"161","Tb927.8.1410",3
"162","Tb927.8.2000",3
"163","Tb927.8.2600",3
"164","Tb927.8.3750",3
"165","Tb927.8.4820",3
"166","Tb927.8.5040",3
"167","Tb927.8.5090",3
"168","Tb927.8.5490",3
"169","Tb927.8.5990",3
"170","Tb927.8.7350",3
"171","Tb927.9.10400",3
"172","Tb927.9.10880",3
"173","Tb927.9.11270",3
"174","Tb927.9.13520",3
"175","Tb927.9.14410",3
"176","Tb927.9.15060",3
"177","Tb927.9.15690",3
"178","Tb927.9.2120",3
"179","Tb927.9.2900",3
