"","x"
"1","talB"
"2","mog"
"3","nhaA"
"4","nhaR"
"5","rihC"
"6","kefF"
"7","kefC"
"8","folA"
"9","apaG"
"10","rsmA"
"11","polB"
"12","leuD"
"13","ilvI"
"14","cra"
"15","secM"
"16","nadC"
"17","lpd"
"18","yacH"
"19","acnB"
"20","cueO"
"21","gcd"
"22","yadI"
"23","panD"
"24","panB"
"25","sfsA"
"26","clcA"
"27","dapD"
"28","ispU"
"29","ldcC"
"30","yaeR"
"31","tilS"
"32","yaeP"
"33","nlpE"
"34","tsaA"
"35","metI"
"36","rnhA"
"37","ivy"
"38","gmhA"
"39","insH1"
"40","mmuP"
"41","yagN"
"42","paoD"
"43","paoC"
"44","paoB"
"45","paoA"
"46","ecpC"
"47","rclA"
"48","yahK"
"49","yahO"
"50","prpR"
"51","prpB"
"52","prpC"
"53","prpD"
"54","prpE"
"55","yaiZ"
"56","iraP"
"57","phoA"
"58","psiF"
"59","yaiC"
"60","yaiI"
"61","aroL"
"62","yaiA"
"63","aroM"
"64","acpH"
"65","yajC"
"66","secD"
"67","tsx"
"68","yajI"
"69","yajO"
"70","bolA"
"71","clpP"
"72","clpX"
"73","ppiD"
"74","ybaV"
"75","fadM"
"76","queC"
"77","ybaY"
"78","ybaA"
"79","ylaB"
"80","acrR"
"81","hemH"
"82","glsA"
"83","ybaT"
"84","cueR"
"85","allR"
"86","gcl"
"87","sfmA"
"88","nmpC"
"89","essD"
"90","rrrD"
"91","rzpD"
"92","rzoD"
"93","borD"
"94","ompT"
"95","nfrB"
"96","ybdG"
"97","nfsB"
"98","ybdK"
"99","fes"
"100","fepB"
"101","dsbG"
"102","ahpC"
"103","ybdR"
"104","pagP"
"105","lipA"
"106","holA"
"107","ybeL"
"108","ybeZ"
"109","ubiF"
"110","asnB"
"111","glnS"
"112","chiP"
"113","seqA"
"114","kdpE"
"115","kdpD"
"116","ybgA"
"117","phr"
"118","dtpD"
"119","sucB"
"120","sucC"
"121","mngR"
"122","pnuC"
"123","zitB"
"124","ybgS"
"125","modA"
"126","modB"
"127","pgl"
"128","ybhB"
"129","uvrB"
"130","ybhL"
"131","ybhN"
"132","clsB"
"133","ybhP"
"134","ybhS"
"135","ybhF"
"136","ybhG"
"137","ybiA"
"138","ybiI"
"139","mcbA"
"140","ybiO"
"141","glnQ"
"142","glnP"
"143","glnH"
"144","dps"
"145","yliI"
"146","dacC"
"147","ybjJ"
"148","ybjN"
"149","potF"
"150","potG"
"151","potI"
"152","ybjO"
"153","rlmC"
"154","artJ"
"155","artM"
"156","artQ"
"157","artI"
"158","artP"
"159","ybjP"
"160","ybjQ"
"161","amiD"
"162","ltaE"
"163","poxB"
"164","dmsA"
"165","dmsB"
"166","dmsC"
"167","ycaC"
"168","ycaP"
"169","ycbJ"
"170","smtA"
"171","mukF"
"172","ldtD"
"173","ompF"
"174","pqiA"
"175","yccT"
"176","yccU"
"177","hspQ"
"178","yccX"
"179","hyaA"
"180","hyaB"
"181","hyaE"
"182","hyaF"
"183","cbdA"
"184","cbdB"
"185","cbdX"
"186","appA"
"187","etk"
"188","cspH"
"189","torR"
"190","cbpM"
"191","cbpA"
"192","yccJ"
"193","wrbA"
"194","ymdF"
"195","efeO"
"196","pgaD"
"197","ghrA"
"198","ymdB"
"199","clsC"
"200","msyB"
"201","yceF"
"202","ycfH"
"203","ptsG"
"204","hinT"
"205","ycfL"
"206","lpoB"
"207","thiK"
"208","nagZ"
"209","ldtC"
"210","pepT"
"211","icd"
"212","ymfD"
"213","ymfE"
"214","ymgA"
"215","ariR"
"216","ymgC"
"217","ycgG"
"218","ymgF"
"219","hlyE"
"220","dsbB"
"221","nhaB"
"222","fadR"
"223","ycgB"
"224","ymgE"
"225","ycgY"
"226","treA"
"227","ycgV"
"228","chaA"
"229","chaB"
"230","chaC"
"231","ychN"
"232","narH"
"233","narI"
"234","rssA"
"235","rssB"
"236","galU"
"237","kch"
"238","ompW"
"239","yciE"
"240","yciF"
"241","yciG"
"242","yciO"
"243","yciQ"
"244","rluB"
"245","yciK"
"246","pgpB"
"247","osmB"
"248","yciZ"
"249","gmr"
"250","puuC"
"251","puuB"
"252","puuE"
"253","pspE"
"254","tpx"
"255","ycjY"
"256","ydaM"
"257","ydaN"
"258","dbpA"
"259","intR"
"260","stfR"
"261","pfo"
"262","hslJ"
"263","paaX"
"264","cybB"
"265","ydcA"
"266","hokB"
"267","mokB"
"268","trg"
"269","ydcJ"
"270","opgD"
"271","ydcH"
"272","rimL"
"273","ydcK"
"274","ydcL"
"275","ydcS"
"276","ydcT"
"277","ydcU"
"278","ydcV"
"279","patD"
"280","yncL"
"281","curA"
"282","mcbR"
"283","yncD"
"284","yncG"
"285","yncH"
"286","yddH"
"287","narV"
"288","narW"
"289","narY"
"290","narZ"
"291","narU"
"292","adhP"
"293","sra"
"294","bdm"
"295","osmC"
"296","ddpF"
"297","ddpD"
"298","ddpC"
"299","ddpB"
"300","ddpA"
"301","ddpX"
"302","dosP"
"303","dosC"
"304","gadC"
"305","gadB"
"306","pqqL"
"307","yddB"
"308","yddA"
"309","ydeM"
"310","ydeN"
"311","tam"
"312","marC"
"313","ydeI"
"314","ydeJ"
"315","dcp"
"316","flxA"
"317","ynfC"
"318","ynfD"
"319","ynfE"
"320","ynfF"
"321","ynfG"
"322","ynfH"
"323","dmsD"
"324","asr"
"325","ydgD"
"326","mdtJ"
"327","folM"
"328","fumA"
"329","ydgA"
"330","hdhA"
"331","anmK"
"332","sodC"
"333","ydhF"
"334","ydhL"
"335","sodB"
"336","cfa"
"337","ydhQ"
"338","ydhS"
"339","ydhY"
"340","ydhZ"
"341","pykF"
"342","ldtE"
"343","sufE"
"344","sufS"
"345","sufD"
"346","sufC"
"347","sufB"
"348","sufA"
"349","ydiJ"
"350","ydiK"
"351","ydiU"
"352","btuD"
"353","btuE"
"354","pfkB"
"355","ydiZ"
"356","yniB"
"357","katE"
"358","osmE"
"359","astE"
"360","astB"
"361","astD"
"362","topB"
"363","selD"
"364","ydjA"
"365","sppA"
"366","msrB"
"367","yeaG"
"368","yeaH"
"369","yeaQ"
"370","yoaC"
"371","pabB"
"372","nudL"
"373","sdaA"
"374","yoaD"
"375","yoaE"
"376","htpX"
"377","yebS"
"378","yebT"
"379","yebV"
"380","yebW"
"381","pphA"
"382","yebZ"
"383","yobA"
"384","ptrB"
"385","yebF"
"386","lpxM"
"387","znuA"
"388","yecN"
"389","cmoA"
"390","cmoB"
"391","flhE"
"392","otsA"
"393","otsB"
"394","ftnB"
"395","ftnA"
"396","yecA"
"397","fliC"
"398","amyA"
"399","yedE"
"400","yedF"
"401","dsrB"
"402","yodD"
"403","yedP"
"404","yedQ"
"405","yodC"
"406","yedI"
"407","yedS"
"408","hchA"
"409","yedW"
"410","yedY"
"411","yedZ"
"412","mtfA"
"413","ldtA"
"414","cobU"
"415","yoeG"
"416","yoeA"
"417","flu"
"418","yeeR"
"419","yeeS"
"420","yeeA"
"421","sbcB"
"422","yeeY"
"423","rfbB"
"424","asmA"
"425","yegE"
"426","mdtB"
"427","iceT"
"428","yegP"
"429","yegS"
"430","gatC"
"431","gatA"
"432","gatZ"
"433","fbaB"
"434","yehD"
"435","yehE"
"436","yehS"
"437","yehT"
