Geneid	JH01_A01	JH01_A02	JH01_A03	JH01_A04	JH01_A05	JH01_A06	JH02_A01	JH02_A02	JH02_A03	JH02_A04	JH02_A05	JH02_A06	JH01_B01	JH01_B02	JH01_B03	JH01_B04	JH01_B05	JH01_B06	JH02_B01	JH02_B02	JH02_B03	JH02_B04	JH02_B05	JH02_B06	JH01_C01	JH01_C02	JH01_C03	JH01_C04	JH01_C05	JH01_C06	JH02_C01	JH02_C02	JH02_C03	JH02_C04	JH02_C05	JH02_C06
IGR:(ORIGIN/CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65):+:168:NC_000913.3	561	330	525	406	239	784	754	2460	957	622	471	760	707	236	293	444	394	437	658	848	488	593	165	251	1249	422	740	285	502	912	977	231	361	944	607	455
AS_IGR:(ORIGIN/CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65):+:168:NC_000913.3	4	8	4	21	17	38	9	13	8	2	8	9	1	4	7	15	18	34	22	4	10	5	9	0	6	6	22	0	19	16	7	0	3	11	3	4
CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3	2761	1599	2451	1994	1055	4025	3534	13462	4231	2628	2345	3539	3346	1243	1065	1999	1533	2144	3052	4211	1753	2784	770	1116	6829	2087	3120	1654	2875	4447	5124	1093	1499	4936	2689	2410
AS_CDS:b0001:thrL:thr_operon_leader_peptide:cds0:+:65:NC_000913.3	0	0	0	0	2	0	0	0	0	6	0	0	2	0	0	0	1	5	0	0	2	0	0	3	0	1	1	0	0	0	0	0	1	3	0	0
IGR:(CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65/CDS,b0002,thrA,Bifunctional_aspartokinase/homoserine_dehydrogenase_1,cds1,+,2462):+:30:NC_000913.3	351	190	311	277	128	563	413	1850	565	336	270	451	519	171	132	236	209	269	392	610	240	425	94	151	1059	243	354	192	313	529	586	118	185	613	340	231
AS_IGR:(CDS,b0001,thrL,thr_operon_leader_peptide,cds0,+,65/CDS,b0002,thrA,Bifunctional_aspartokinase/homoserine_dehydrogenase_1,cds1,+,2462):+:30:NC_000913.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS:b0002:thrA:Bifunctional_aspartokinase/homoserine_dehydrogenase_1:cds1:+:2462:NC_000913.3	2072	441	1203	739	605	1645	2283	3952	1390	932	877	1419	2982	691	1519	1711	1754	1488	2171	3329	1631	1821	605	1447	2023	875	1279	700	616	2055	1698	555	429	1772	1121	1434
AS_CDS:b0002:thrA:Bifunctional_aspartokinase/homoserine_dehydrogenase_1:cds1:+:2462:NC_000913.3	22	23	48	32	72	90	47	111	123	62	76	81	50	7	64	47	56	91	64	43	67	93	42	48	50	45	65	22	48	88	75	33	21	64	35	35
CDS:b0003:thrB:homoserine_kinase:cds2:+:932:NC_000913.3	1000	278	640	537	606	1349	910	2165	962	600	919	1290	1226	385	787	1311	1235	1117	907	1700	1152	1425	552	1070	663	454	598	441	456	1254	534	279	149	1193	893	1134
AS_CDS:b0003:thrB:homoserine_kinase:cds2:+:932:NC_000913.3	3	3	6	10	16	12	10	39	19	6	8	0	13	4	6	6	15	6	12	15	16	3	0	2	6	3	11	12	6	13	21	3	4	19	7	9
CDS:b0004:thrC:L-threonine_synthase:cds3:+:1286:NC_000913.3	1775	530	1174	762	826	2072	1718	3768	1662	888	1396	2005	2384	746	1519	1842	2226	1606	1688	3145	1789	2038	659	1532	1091	811	1071	759	786	1979	1314	798	457	1748	1414	1622
AS_CDS:b0004:thrC:L-threonine_synthase:cds3:+:1286:NC_000913.3	24	10	15	18	7	23	26	68	59	20	29	15	34	5	23	3	24	11	60	17	29	13	7	15	6	5	44	8	18	3	17	9	17	26	4	11
IGR:(CDS,b0004,thrC,L-threonine_synthase,cds3,+,1286/CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296):+:162:NC_000913.3	161	52	100	65	75	183	156	397	177	104	110	129	255	68	109	132	171	131	183	303	156	146	36	104	119	82	108	55	51	144	157	91	52	184	129	91
AS_IGR:(CDS,b0004,thrC,L-threonine_synthase,cds3,+,1286/CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296):+:162:NC_000913.3	49	23	39	47	6	47	78	131	127	52	11	16	105	20	28	7	35	40	47	43	51	18	16	27	30	19	39	16	6	46	32	18	26	23	9	15
CDS:b0005:yaaX:DUF2502_family_putative_periplasmic_protein:cds4:+:296:NC_000913.3	119	36	40	42	28	45	145	263	161	69	60	53	265	57	86	63	75	58	201	135	108	57	26	46	55	84	72	27	24	61	162	24	19	88	45	62
AS_CDS:b0005:yaaX:DUF2502_family_putative_periplasmic_protein:cds4:+:296:NC_000913.3	112	112	142	145	28	86	141	500	494	220	89	97	140	71	82	56	108	90	165	212	212	90	36	70	82	100	240	43	39	88	129	67	79	98	55	75
IGR:(CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296/CDS,b0006,yaaA,peroxide_resistance_protein%2C_lowers_intracellular_iron,cds5,-,776):+:91:NC_000913.3	27	7	15	12	10	21	26	74	53	14	18	14	67	17	23	12	26	19	34	26	15	23	14	9	9	24	25	7	8	15	33	4	8	23	7	11
AS_IGR:(CDS,b0005,yaaX,DUF2502_family_putative_periplasmic_protein,cds4,+,296/CDS,b0006,yaaA,peroxide_resistance_protein%2C_lowers_intracellular_iron,cds5,-,776):+:91:NC_000913.3	93	85	118	94	47	80	97	393	464	267	119	117	97	52	76	47	99	78	140	165	167	76	27	59	70	90	257	26	27	107	107	67	96	72	60	81
CDS:b0006:yaaA:peroxide_resistance_protein%2C_lowers_intracellular_iron:cds5:-:776:NC_000913.3	428	424	550	553	265	509	592	1776	2072	1004	518	607	536	315	443	350	577	325	662	958	976	455	163	357	370	515	1168	146	196	458	489	338	452	441	340	364
AS_CDS:b0006:yaaA:peroxide_resistance_protein%2C_lowers_intracellular_iron:cds5:-:776:NC_000913.3	40	62	24	39	24	42	137	209	220	89	66	98	115	30	52	51	66	30	146	52	77	86	24	54	79	40	199	25	30	43	89	18	85	91	41	35
IGR:(CDS,b0006,yaaA,peroxide_resistance_protein%2C_lowers_intracellular_iron,cds5,-,776/CDS,b0007,yaaJ,putative_transporter,cds6,-,1430):+:18:NC_000913.3	0	2	1	2	1	1	3	5	4	3	1	3	1	1	1	3	2	2	3	2	3	1	1	1	0	0	4	0	1	0	3	0	2	3	3	3
AS_IGR:(CDS,b0006,yaaA,peroxide_resistance_protein%2C_lowers_intracellular_iron,cds5,-,776/CDS,b0007,yaaJ,putative_transporter,cds6,-,1430):+:18:NC_000913.3	3	4	5	3	4	12	7	13	39	9	3	7	2	2	6	7	14	7	6	4	13	5	2	6	4	2	15	3	8	12	2	2	2	5	3	3
CDS:b0007:yaaJ:putative_transporter:cds6:-:1430:NC_000913.3	185	205	376	546	473	1123	382	733	2406	1064	557	552	266	124	593	620	1235	1059	319	270	1411	479	327	530	146	269	844	327	520	1295	277	217	289	423	408	278
AS_CDS:b0007:yaaJ:putative_transporter:cds6:-:1430:NC_000913.3	74	53	109	90	26	97	114	217	295	148	67	112	103	32	79	97	95	80	137	100	149	91	53	62	59	120	252	55	87	64	148	67	85	157	75	72
IGR:(CDS,b0007,yaaJ,putative_transporter,cds6,-,1430/CDS,b0008,talB,transaldolase_B,cds7,+,953):+:237:NC_000913.3	269	355	357	463	174	266	484	1154	990	823	442	404	349	270	326	228	285	188	399	723	708	430	164	264	264	396	816	116	167	276	510	224	300	399	264	265
